Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
LAMU,,	1908-01-01,,Operational,Operational,Land (fixed),0-20000-0-63772|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.22661,40.84809,9.01,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;EVAP{023};RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,Open (15-40%) broadleaved deciduous forest/woodland (>5m)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,,"GBON, GOS General:Operational",	2023-05-08,Anne Kamau
LODWAR,,	1919-01-01,,Operational,Operational,Land (fixed),0-20000-0-63612|primary,Africa,EAC (Kenya & Tanzania),Kenya,3.118498,35.590338,502,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GSN;RBCN;RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated, GBON, GOS General:Operational, GSN:Operational",	2024-01-22,Tim Oakley
LOKORI,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63616|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.95,36.03333,603,GPS,UTC+3,Kenyan Meteorological Department,,,,Steppe - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of middle altitude,,GOS General:Pre-operational,	2022-06-08,Philip Kimutai Koske
LOLLDAIGA HILLS CENTRE,,	2001-01-01,,Unknown,Unknown,Land (fixed),0-404-300-311650821RA37017|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.21,37.11,2154,GPS,UTC+3,,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
LOLLDAIGA HILLS- BARRIER,,	2001-01-02,,Unknown,Unknown,Land (fixed),0-404-300-311650821RA37013|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.11,37.13,1916,GPS,UTC+3,,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
LOLLDAIGA HILLS- NORTHERN,,	2001-01-01,,Unknown,Unknown,Land (fixed),0-404-300-311650821RA37016|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.33,37.13,1846,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
LOLLDAIGA HILLS- WESTERN,,	2001-01-02,,Unknown,Unknown,Land (fixed),0-404-300-311650821RA37015|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.18,37.06,1893,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
Laisamis AWS,,	2022-12-01,,Operational,Unknown,Land (fixed),0-404-300-100480240AS00118|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.5825,37.7986,575,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Laliat Secondary School,,	2021-10-28,,Operational,Unknown,Land (fixed),0-404-300-351900945AS00016|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.2604,35.2639,1673,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Lokusero Secondary School station,,	2021-10-12,,Operational,Unknown,Land (fixed),0-404-300-311650825AS00084|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.312,37.2967,1930,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
MAKINDU,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-63766|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.2861111111,37.8244444444,999.74,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,,,,,"GBON, GOS General:Operational",	2023-05-16,JAMES KAIGUA
MAKTAU FARM,,	2018-11-30,,Unknown,Silent,Land (fixed),"0-404-300-060250122AS00001|primary,0-404-300-060250122AS0001",Africa,EAC (Kenya & Tanzania),Kenya,-3.4258,38.1393,1055.6,,UTC+3,Kenyan Meteorological Department,,,,,,,,,Non-affiliated,	2024-04-19,Anne Kamau
MALINDI,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63799|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.2308333333,40.1,19.81,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;EVAP{023};SPECI;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated, GBON, GOS General:Operational",	2024-01-16,Anne Kamau
MANDERA,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-63624|primary,Africa,EAC (Kenya & Tanzania),Kenya,3.9329326,41.867676,248.49,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GSN;RBCN;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated, GBON, GOS General:Operational, GSN:Operational",	2023-07-13,ANNE WANYOIKE
MARSABIT,,	1920-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63641|primary,Africa,EAC (Kenya & Tanzania),Kenya,2.3338888889,37.9855555556,1364.94,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON, GOS General:Operational",	2023-12-27,Anne Kamau
MERU,,	1963-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63695|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.082038,37.648069,1617.77,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within mountains of high altitude,,"GBON, GOS General:Operational",	2023-12-27,Anne Kamau
MODIKA BPU,,	2022-01-18,,Operational,Unknown,Land (fixed),0-404-300-070300151AS00102|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.357,39.7076,238,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
MOIBEN CHEBARA DAM,,	2000-01-01,,Operational,Unknown,Land (fixed),0-404-300-281480738RA35263|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.8828,35.4975,2376,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated:Operational,	2024-02-07,Anne Kamau
MOMBASA INTERNATIONAL AIRPORT,,	1946-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63820|primary,Africa,EAC (Kenya & Tanzania),Kenya,-4.04634,39.56298,5,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;CLIMAT(C);EVAP{023};GSN;RBCN;RBSN(S);SPECI;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within plains of very low altitude,,"CLIMAT(C) - deprecated, GBON:Operational, GOS General:Operational, GSN:Operational",	2024-01-15,Anne Kamau
MOYALE,,	1915-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63619|primary,Africa,EAC (Kenya & Tanzania),Kenya,3.525778,39.04528,1112.79,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};RBCN;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,,"GBON, GOS General:Operational, RBON",	2024-05-03,Anne Kamau
MT ELGON ORCHARDS,,	2011-01-01,,Unknown,Unknown,Land (fixed),0-404-300-261370680RA34107|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.2091,34.7954,1966,,UTC+3,Kenyan Meteorological Department,,,,,,,,,Non-affiliated,	2024-06-03,Anne Kamau
MUGIE CENTER,,	1957-01-01,,Unknown,Unknown,Land (fixed),0-404-300-321650822RA26145|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7097,36.5925,1848,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
Maalimin Dispensary,,	2022-01-17,,Operational,Unknown,Land (fixed),0-404-300-070290143AS00104|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.387,39.3443,266,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Machakos Agriculture Training Centre,,	2021-10-01,,Unknown,Unknown,Land (fixed),0-404-300-160810399AS00008|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.5455,37.2402,1615,,,,,,,,,,,,"GOS General, Non-affiliated",	2023-07-04,ANNE WANYOIKE
Magumu Boys High Sch (Agromet),,	2021-05-12,,Operational,Unknown,Land (fixed),0-404-300-180890448AS00069|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.8529,36.5617,2740,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Maikona AWS,,	2021-12-17,,Operational,Unknown,Land (fixed),0-404-300-100460229AS00115|primary,Africa,EAC (Kenya & Tanzania),Kenya,2.9466,37.6353,386,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Malindi,,	1967-03-01,	1967-03-01,Closed,Unknown,Land (fixed),0-20008-0-MLD|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.9900000095,40.1899986267,,,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Savannah - dry winter,,,,,"GAW Regional:Closed, SHADOZ:Closed",	2022-05-24,Philip Kimutai Koske
Manda Airbase,,	2022-01-24,,Operational,Unknown,Land (fixed),0-404-300-050220106AS00085|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.163,40.8939,10,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Manoa dispensary,,	2021-10-18,,Unknown,Unknown,Land (fixed),0-404-300-060250123AS00046|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.595,38.3331,913,,,,,,,,,,,,GOS General,	2023-07-04,ANNE WANYOIKE
Manyatta AWS,,	2021-12-17,,Operational,Unknown,Land (fixed),0-404-300-100450223AS00117|primary,Africa,EAC (Kenya & Tanzania),Kenya,3.5144,39.0661,1027,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Mary’s Yala Secondary School,,	2021-08-11,,Operational,Unknown,Land (fixed),0-404-300-412351172AS00042|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.095,34.5342,1448,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
"Maseno Veterinary Farm, Maseno",,	2021-05-11,,Operational,Unknown,Land (fixed),0-404-300-422391195AS00027|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.0009,34.598,1555,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Mashuru DCC’s compound,,	2021-09-16,,Operational,Unknown,Land (fixed),0-404-300-341850925AS00003|primary,Africa,EAC (Kenya & Tanzania),Kenya,2.0622,37.0789,1375,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Masinga Boys Secondary School,,	2021-10-05,,Operational,Unknown,Land (fixed),0-404-300-160750372AS00010|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.9646,37.624,1139,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-03,Anne Kamau
Materi Girls High School/Center,,	2021-12-14,,Operational,Unknown,Land (fixed),0-404-300-130620309AS00095|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.1928,37.8112,869,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Meru National Park –Eastern gate(Ura-gate),,	2021-12-17,,Operational,Unknown,Land (fixed),0-404-300-130620306AS00096|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.0246,38.0654,664,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Metkei DO’S office,,	2021-11-25,,Operational,Unknown,Land (fixed),0-404-300-281500750AS00054|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2016,35.57,2602,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Mogogosiek tea factory,,	2021-10-23,,Operational,Unknown,Land (fixed),0-404-300-361980988AS00012|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.3752,35.1641,1981,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Mt. Kenya,Mount Kenya,	1999-01-01,,Operational,Unknown,Land (fixed),0-20008-0-MKN|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0621999986,37.2971992493,3678,GPS,UTC+3,Kenyan Meteorological Department,http://www.meteo.go.ke/obsv/gaw/,,"The station is situated above Moses Camp on the northern upper slopes of Mt. Kenya in a wildlife preserve above the tree line and provides measurements of the tropical mid-troposphere as well as air from the lower humid boundary layer. Access is along Sirimon Route, a distance of 21km from the Nanyuki-Timau tarmac. The turn-off is about 16km from Nanyuki. A new settlement has been created in the former forest land after the turn-off.",Warm Temperate - Fully humid - Warm summer,,,,,"GAW Global:Operational, NOAA-GML:Closed",	2024-08-07,Jörg Klausen
Mudhiero Sec School,,	2021-10-11,,Operational,Unknown,Land (fixed),0-404-300-412321160AS00043|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.1672,34.4325,1340,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Muhoroni Sugar Company,,	2021-03-11,,Operational,Unknown,Land (fixed),0-404-300-422431215AS00031|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.1542,35.1817,1254,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Munyu police post,,	2021-11-12,,Operational,Unknown,Land (fixed),0-404-300-190950475AS00098|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.2477,37.0744,2065,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
NAKURU,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63714|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.270841,36.103781,1914.57,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and warm summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at low relative elevation within hills of high altitude,,"GBON:Operational, GOS General:Operational",	2023-12-27,Anne Kamau
NAROK,,	1913-01-01,,Operational,Operational,Land (fixed),0-20000-0-63737|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.094662,35.863817,1889.56,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON, GOS General:Operational",	2024-01-11,Anne Kamau
NDMA (Agromet),,	2022-01-22,,Operational,Unknown,Land (fixed),0-404-300-040190094AS00108|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.4948,40.0296,64,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
NGARE NDARE FARM,,	1984-01-06,,Unknown,Unknown,Land (fixed),0-404-300-311650825RA37105|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.23,37.35,1692,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
NGONG AUTOMATIC WEATHER STATION,,	2010-01-01,,Operational,Unknown,Land (fixed),0-404-300-341830914AS63738|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.3406893,36.645306,1988.74,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP{023};GUAN;HU/FC;RBCN;SKYRA;SOILTEMP;SUNDUR;TOTRA{025};WR OR/OU WT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sky radiation measurements.,Warm Temperate - Fully humid - Warm summer,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within rises of high altitude,,GOS General:Operational,	2023-07-04,Anne Kamau
NYERI,,	1968-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63717|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.442363,36.980644,1768,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};SOILTEMP;SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Equatorial - Savannah - dry summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"GBON:Operational, GOS General:Operational",	2024-01-16,Anne Kamau
NYS HINDI,,	2022-01-30,,Operational,Unknown,Land (fixed),0-404-300-050220106AS00086|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.0177,40.7792,7,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
NYS Lake Kenyatta(Agromet),,	2022-01-31,,Operational,Unknown,Land (fixed),0-404-300-050220110AS00088|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.4054,40.6808,12,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
NYS WITU,,	2022-01-30,,Operational,Unknown,Land (fixed),0-404-300-050220109AS00087|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.3818,40.4559,21,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
NZOIA SUGAR FACTORY BUNGOMA,,	1980-04-01,,Operational,Unknown,Land (fixed),0-404-300-392201097RA34183|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.5777,34.655,1478,,UTC+3,Kenyan Meteorological Department,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
Nairobi,,	1996-01-01,,Operational,Unknown,Land (fixed),0-20008-0-NRB|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.30169,36.75919,1795,GPS,UTC+3,Kenyan Meteorological Department,http://www.meteo.go.ke/obsv/ozone.html,,"The station is located at 01° 18'S 36° 45' E at an altitude of 1795m and is within the compound of the Kenya Meteorological Department headquarters at Dagoretti Corner, Nairobi.",Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"AERONET:Unknown, GAW Regional:Operational, SHADOZ:Operational",	2024-08-01,Anne Kamau
Nasukuta LIC AWS (Agromet),,	2021-11-21,,Operational,Unknown,Land (fixed),0-404-300-1320657AS00062|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.3614,35.1963,1638,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-12,JAMES KAIGUA
Ndaragwa Boys high School,,	2021-06-12,,Operational,Unknown,Land (fixed),0-404-300-180930464AS00065|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0617,36.4537,2484,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Ndenai boys high school,,	2021-10-26,,Operational,Unknown,Land (fixed),0-404-300-361940966AS00014|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.8269,35.0977,1887,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Ndoinet forest stattion,,	2021-10-27,,Operational,Unknown,Land (fixed),0-404-300-361980989AS00120|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.4098,35.5417,2499,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Ngobit Police Station,,	2021-06-12,,Operational,Unknown,Land (fixed),0-404-300-311640818AS00081|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0625,36.801,1953,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Ng’enyilel Mixed Sec Sch,,	2021-11-01,,Operational,Unknown,Land (fixed),0-404-300-301600800AS00075|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2514,36.2847,2071,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Ng’oron  High School,,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-301570781AS00070|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.2913,35.7869,1010,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-18,ANNE WANYOIKE
Nkondi Primary South,,	2021-12-15,,Operational,Unknown,Land (fixed),0-404-300-130620310AS00093|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0416,37.9596,751,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Nyajuok,,	2021-08-11,,Operational,Unknown,Land (fixed),0-404-300-412341168AS00041|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0351,34.2782,1222,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Olkirimatiani health center,,	2021-12-22,,Operational,Unknown,Land (fixed),0-404-300-341860928AS00006|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.5233,36.0887,651,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Oyude Chief’s Camp,,	2021-09-11,,Operational,Unknown,Land (fixed),0-404-300-412371182AS00039|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.1207,34.3822,1252,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-18,ANNE WANYOIKE
Ozi Dispensary,,	2022-01-24,,Operational,Unknown,Land (fixed),0-404-300-040180086AS00110|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.5118,40.4553,5,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
PCEA Isara High School Station,,	2021-09-20,,Operational,Unknown,Land (fixed),0-404-300-341850924AS00004|primary,Africa,EAC (Kenya & Tanzania),Kenya,-2.1618,37.2767,1189,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
PJ Dave Flora farm (Agromet),,	2021-09-17,,Unknown,Unknown,Land (fixed),0-404-300-341850921AS00002|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.4145,36.5276,1658,,,,,,,,,,,,Non-affiliated,	2023-06-27,Anne Kamau
RADAR DWSR-8501 - JKIA,,	2016-04-29,	2021-05-17,Closed,Unknown,Land (fixed),0-404-301-8501MALINDI|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.3213888889,36.9397222222,1658,,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Savannah - dry summer,,,,,WRO:Closed,	2022-05-24,Philip Kimutai Koske
RADAR DWSR-8501 - MALINDI,,	2016-04-29,	2021-06-28,Closed,Unknown,Land (fixed),0-404-301-8501Mlindi|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.2694444444,40.0502777778,37,,UTC+3,Kenyan Meteorological Department,,,,Equatorial - Savannah - dry summer,,,,,WRO:Closed,	2022-05-24,Philip Kimutai Koske
SHIMONI,,	2020-09-21,,Operational,Unknown,Land (fixed),0-404-0-63796|primary,Africa,EAC (Kenya & Tanzania),Kenya,-4.6333,39.3677,8,GPS,UTC+3,Kenyan Meteorological Department,,,,,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,,GOS General:Operational,	2022-06-08,Philip Kimutai Koske
SINGORE DISTRICT FOREST OFFICE,,	1984-10-01,,Operational,Unknown,Land (fixed),0-404-300-281490744RA35222|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7185,35.5215,2314,,UTC+3,KENYA METEOROLOGICAL DEPARTMENT,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
SUAM ORCHARDS,,	1992-01-01,,Operational,Unknown,Land (fixed),0-404-300-261370680RA204|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.2163,34.8106,1941,(unknown),UTC+3,Kenyan Meteorological Department,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
SUBA,,	1967-01-01,,Operational,Unknown,Land (fixed),0-20000-0-63711|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.4,34.1480555556,1143,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"GBON, GOS General:Operational",	2023-09-29,Anne Kamau
Saka Primary School (Agromet),,	2022-01-17,,Operational,Unknown,Land (fixed),0-404-300-070280138AS00103|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.143,39.3292,177,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
"Samia DCC, Funyula",,	2021-12-11,,Operational,Unknown,Land (fixed),0-404-300-402301149AS00034|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2717,34.091,1193,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
Sericho Police post,,	2021-12-21,,Operational,Unknown,Land (fixed),0-404-300-110500250AS00078|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.1321,39.1114,233,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-02,JAMES KAIGUA
Shamata Girls High Sch,,	2021-05-12,,Operational,Unknown,Land (fixed),0-404-300-180930465AS00064|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.1962,36.4997,2752,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Shant Abaq DO’s Office,,	2022-01-18,,Operational,Unknown,Land (fixed),0-404-300-070290142AS00105|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.4605,39.7416,167,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
